,ID,URL,NAME,TYPE,RARITY
0,000,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp000-rr.jpg,青眼の白龍,00,04
1,001,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp001.jpg,リザード兵,00,00
2,002,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp002.jpg,レッサー・ドラゴン,00,00
3,003,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp003.jpg,古の守り亀,00,00
4,004,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp004.jpg,封印の鎖,00,00
5,005,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp005.jpg,火麺忍者チヂレッド,00,00
6,006,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp006.jpg,ベビー・ティーレックス,00,00
7,007,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp007.jpg,アンモ・ナイト,00,00
8,008,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp008.jpg,プチモス,00,00
9,009,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp009.jpg,ワイト,00,00
10,010,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp010.jpg,シルバー・フォング,00,00
11,011,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp011-r.jpg,グレムリン,00,01
12,012,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp012-r.jpg,セイント・バード,00,01
13,013,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp013-r.jpg,ラムーン,00,01
14,014,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp014-r.jpg,マシン・アタッカー,00,01
15,015,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp015-r.jpg,地を這うドラゴン,00,01
16,016,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp016-r.jpg,マックス・レイダー,00,01
17,017,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp017-r.jpg,クリボット,01,01
18,018,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp018-sr.jpg,ささやきの妖精,01,02
19,019,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp019.jpg,ファイア・ゴーレム,01,00
20,020,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp020.jpg,聖剣士の柄持ちヒルト,01,00
21,021,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp021-ur.jpg,セブンスロード・ウィッチ,01,03
22,022,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp022-sr.jpg,暁の勇者ライダクロス,01,02
23,023,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp023-rr.jpg,セブンスロード・マジシャン,01,04
24,024,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp024-r.jpg,ドラゴンズ・セットアッパー,01,01
25,025,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp025-r.jpg,ドラゴンズ・アップセッター,01,01
26,026,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp026-ur.jpg,ドラゴニック・スレイヤー,01,03
27,027,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp027-rr.jpg,連撃竜ドラギアス,01,04
28,028,https://www.konami.com/yugioh/rushduel/products/kp01/cards/jp028-ur.jpg,彩光のプリマギターナ,01,03
